id,name,name_cn,连载结束
114711,ソードガイ 装刀凱,SWORD GAI 装刀凯,"2015年11月号"
114932,王子とヒーロー,王子与英雄,"2012-12-28(2013年2月号)"
114989,デュラララ!! 3way standoff -alley-,,"2014-08-22(2014年10月号)"
115026,君はぼくのヒーローさ,你是我的英雄,"2008年No.12"
115060,新 仮面ライダーSPIRITS,新 假面骑士SPIRITS,"2025-07-04（2025年8月号）"
115561,ソードアート・オンライン キャリバー,,"2015-06-30（2015年8月号/Vol.15）"
115562,ソードアート・オンライン マザーズ・ロザリオ,,"2016-04-09（2016年5月号/vol.49）"
115938,愛しの花凛,亲爱的花凛,"2014-12-24(2015年2月号)"
115989,鷲尾須美は勇者である,鹫尾须美是勇者,"2015年1月号"
116504,君死ニタマフ事ナカレ,愿君勿死,"2020-08-25(2020 Vol.09)"
117125,咲くは江戸にもその素質,江户盛开的腐花,"2015-09-08"
117214,護くんに女神の祝福を! a blessing of Venus.,献上女神的祝福 a blessing of Venus.,"2008年8月号"
117452,監視官 常守朱,监视官 常守朱,"2013年6月号"
117991,PSYCHO-PASS サイコパス 監視官 狡噛慎也,PSYCHO-PASS 监视官 狡啮慎也,"2017年12月号"
118342,ボーイスカート,薛定谔之裙,"2016-04-19 (2016年5月号)"
118692,いんてる先輩,英特尔学姐,"2012-08-27 (2012年10月号)"
118880,SHIROBAKO ～上山高校アニメーション同好会～,白箱 ～上山高校动画制作同好会～,"2015-11-27(2016年1月号)"
118893,ネトゲの嫁は女の子じゃないと思った？,线上游戏的老婆不可能是女生？,"2018-09-29(2018年11月号)"
119166,アイシテル〜海容〜,爱与宽恕,"2007年4号"
119169,アイシテル〜絆〜,爱与宽恕2,"2010年19号"
119563,いつわりびと◆空◆,虚实少年・空,"2013-09-03 (CLUB SUNDAY)"
119585,キミと死体とボクの解答,你与死体与我的解答,"2014-04-30 (2014年6月号)"
119708,あの娘にキスと白百合を,为那女孩献上吻与白百合,"2019-02-27 (2019年4月号)"
120048,カミヨメ,神嫁,"2011-11-22 (2011年12月号)"
120161,盾の勇者の成り上がり,盾之勇者成名录,"2013-10-29"
120219,魂の剣,魂之剑,"1995年18号	"
120273,ティンクル☆くるせいだーすGoGo!,闪耀十字军GoGo!,2010年10月号
120346,艦隊これくしょん -艦これ- 島風 つむじ風の少女,舰队收藏 -舰Colle- 岛风 旋风的少女,"2016-02-27(2016年4月号)"
120891,こちら、幸福安心委員会です。,这里是、幸福安心委员会。,"2016-01-15(17号)"
121068,魔法少女ここねはかく語りき,魔法少女心音如是说,"2016-03-09 (2016年4月号)"
121141,結城友奈は勇者部所属,结城友奈是勇者部成员,"2016年9月号"
121533,黙示録アリス,默示录Alice,"2015-06-15(2015年7月号)"
121651,あなたのオモチャ 新婚編,玩具爱人新婚篇,"2016-12-19(2017年1月号)"
121790,プランダラ,星掠者,"2022-04-26 (2022年6月号)"
121938,Re:ゼロから始める異世界生活 第一章 王都の一日編,Re:从零开始的异世界生活 第一章 王都的一日,"2015-02-27(2015年4月号)"
122128,花は桜よりも華のごとく,樱之未若花之华,"2012-10-24(2012年10月号)"
122335,湾岸ミッドナイト,湾岸午夜,2008年9月（週刊ヤングマガジン）
122382,湾岸ミッドナイト C1ランナー,,2012年32号
122402,銀灰のスピードスター,,"2015-07-06 (2015年20号)"
122432,青春SCRAP!,青春SCRAP！,"2015-05-09(2015年6月号)"
122469,宮廷神官物語,宫廷神官物语,"2010年9月号 "
